P20273	Q07108
Q01780	Q9ULX3
P38606	Q99437
Q9H816	Q9NUW8
Q9BRJ2	Q9BZE1
O00590	P52803
Q13520	Q92982
P82921	Q7Z2W9
O14782	Q92845
Q8IWW8	Q99685
Q5C9Z4	Q5SY16
O43290	Q13435
Q15397	Q9NVN8
Q6P161	Q6P161
P55344	Q99437
Q14790	Q8IUC6
Q96BP2	Q9Y6G3
P40429	P80217
Q96AP4	Q96G74
P05231	Q14108
Q16549	Q8WXH2
P25786	Q99436
Q86WX3	Q9H8H0
P82673	Q9H0U6
P10145	P10767
O75400	Q9UK58
P59780	Q9Y6B7
Q8TBB1	Q99471
P09012	Q8WVK2
Q15031	Q9NQL2
Q14442	Q92521
Q8N6N6	Q9NRD5
Q07812	Q07812
Q01105	Q01105
Q15050	Q9BQ67
Q9BYN8	Q9NVS2
O43818	P46782
Q01081	Q10567
O15553	P57764
P22830	P53701
O75360	Q9BSH5
P18858	P49736
O75380	P00403
Q7Z7H8	Q96RP9
O15372	Q9H1X1
P28329	Q9Y3Q8
O75400	P01106
Q96P66	Q9BVK8
O15239	Q9NX14
Q9H8T0	Q9H8T0
Q13520	Q9BU79
O43639	P48023
P60568	Q13094
P09564	Q9Y3E5
P09001	Q8NFU3
P02724	Q96MV1
Q8N5I9	Q9Y230
O60759	O60759
P41161	Q8NHY2
P11686	Q8TD46
Q14691	Q99741
Q9NPD3	Q9Y5J1
P08708	P36578
Q96DF8	Q96N46
P54252	Q16740
P19388	Q16514
P62805	P63272
Q6IPM2	Q6IPM2
P37837	Q9Y617
Q5QP82	Q7L5Y6
O95396	Q9H9T3
Q96BH1	Q96BH1
Q96RN5	Q9BWU1
P04180	P55058
P01189	P07101
P05388	P25705
O75792	Q13415
P61313	Q9UHA3
P01106	P03372
Q15397	Q9H089
P15260	Q13520
P08708	P62829
Q9BWG6	Q9UBR4
O95394	Q96IJ6
P49207	Q9H009
Q8N9N5	Q9NV39
P82933	Q9Y2Q9
O95396	Q9NQX3
P62241	Q07020
Q14BN4	Q9NVK5
P13010	P18858
O95999	Q9H257
P62273	P62888
P40227	Q13033
P63208	Q7Z699
P09496	P33681
Q8IXK0	Q92769
Q12824	Q9NPI1
P53990	Q9UQN3
P14210	P50222
O00567	O43143
P42677	Q12788
Q9P0J6	Q9Y2Q9
O43167	Q9BYV9
Q659A1	Q8WVC0
Q5TD97	Q9ULW5
P15260	Q9P0W0
O14530	Q92499
P33993	Q9NS73
P39019	Q9UI30
O75419	Q15369
P60602	Q6NTF9
P05112	Q8N6P7
Q7L266	Q8N142
Q96FH0	Q96FH0
Q15024	Q15269
Q16637	Q8TDB4
Q9NV31	Q9NYH9
Q9UHA3	Q9UJX2
Q8N4V1	Q9NPA0
P40692	Q9ULR0
Q9NUH8	Q9NX47
A0JLT2	P32780
Q5VTT2	Q6ZQR2
Q6UXB4	Q7Z7G2
Q86X02	Q8N715
O43557	Q13114
Q96FX8	Q9H3D4
P37198	Q8IY31
Q0VD86	Q96FJ0
P13995	Q3SY69
P09012	P31483
P34972	Q9Y6D0
Q6ZNX1	Q9UI95
Q13438	Q9UBU6
Q13901	Q9UNX4
Q5JUK2	Q99471
Q02127	Q15726
P01579	P14784
Q96BP2	Q96EY7
P59991	Q96LM6
P0CG13	Q5FWF5
Q13206	Q9NZM5
Q8TC26	Q9Y6M5
Q6NUP7	Q6NUP7
Q96DI7	Q9BZL1
P51991	P62308
P60228	P62854
P36406	Q14511
P49589	Q96GW9
A8MQ03	Q86WW8
P0CG48	P49720
O15541	Q9Y3B4
P23434	Q9UL12
Q15554	Q9H816
Q14697	Q9UKM7
P61254	P63241
P15374	Q9UK80
P57740	Q8NFH4
O15371	P46777
Q68CJ9	Q9Y228
P49458	Q6ZTQ4
Q5JRM2	Q96A35
Q9BQC6	Q9P0J6
Q96A35	Q9BYD2
Q96GC5	Q9NWT8
P46783	Q8NA23
Q8WV16	Q96SW2
P61978	Q12905
Q96FX7	Q9GZR2
P22301	Q8N6P7
Q13554	Q16566
O60870	Q12874
O43920	Q9Y375
P04632	Q96NL8
Q13554	Q9UJ78
Q96N66	Q9NRZ5
Q15542	Q96HR3
O75446	P62805
P28331	Q12887
Q13323	Q9H2L4
P16298	Q96MX6
Q53EZ4	Q7L590
P82932	Q7Z7F7
Q13485	Q9H0M0
P52788	P78562
P61313	Q9BVK8
O15235	Q07812
Q3SXY8	Q9BTV4
Q9UGP5	Q9UQ84
Q7Z434	Q99836
P14373	Q6NYC8
P62241	Q96G21
Q13123	Q15427
O15212	Q99832
P46781	Q8TED0
P08708	Q15041
P14780	P61073
Q99611	Q9NZV6
P36578	Q9Y3D3
P09601	Q9BUF7
Q13228	Q13228
Q53EZ4	Q8N9N8
P62841	P78345
P02655	P56589
Q16611	Q86UF1
P30679	Q9NPC1
P78537	P78537
Q7Z7F7	Q9BZE1
Q7Z739	Q96MU7
Q9NZ63	Q9NZ63
P0DPK4	Q9BRU9
P61247	Q9Y2X3
P55081	P62306
P62244	Q9Y2R9
P61296	Q8IZQ8
P19447	Q12962
Q8NHS3	Q9UBX1
P49642	Q9NRG0
P14635	Q00987
O75330	Q15398
Q659A1	Q6P1J9
A5D8V6	Q53EZ4
P07910	Q9UHX1
O00303	Q8TAB5
Q9GZR2	Q9UHA3
Q16740	Q9BT56
O95461	Q8NCR0
O76021	Q02543
Q8TAD2	Q9HBE5
Q9BXP5	Q9BZL1
O43187	Q9Y6Y9
O60269	P78347
P63279	Q8WWZ3
O75460	P01375
Q96CV9	Q9H6R3
P53350	Q8NCD3
Q96G79	Q9BSE4
Q8IWT0	Q9BVL2
P26842	P28908
P15954	P56181
Q8NEJ9	Q9Y3A4
P19438	Q92636
Q3LI67	Q9HBE1
Q9UBQ5	Q9UBQ5
O60716	Q8NC69
P46782	Q9UI30
P49207	P62829
O14521	Q9H425
O94842	Q2TAL8
Q8WZ59	Q8WZ59
O95456	Q9NRX2
P62263	P62750
P00403	Q10713
Q6UWV6	Q9HCG7
P63220	Q9NX58
Q9UQ80	Q9Y3U8
P01730	Q14624
P61619	Q9Y4L1
P62081	P62829
Q8NEJ9	Q96GA3
O75528	P28329
P48201	Q00325
Q8TDN6	Q9BXY0
O60260	Q9UNE7
Q7Z5V6	Q9H0C1
P07992	P23025
P24522	P24522
P15880	Q5T653
P61962	Q13148
Q15370	Q92905
Q96HA8	Q96N21
P50402	Q5T7V8
Q02543	Q9Y450
Q969U6	Q969U6
Q495M9	Q9UER7
Q6P161	Q9NQ50
P18077	P29692
Q8IWD4	Q8IWD4
O60832	Q9NY61
A5YM72	Q99259
P30307	Q16667
Q9HCG7	Q9Y6B7
Q13895	Q92979
P78330	Q9UJA2
Q8WUZ0	Q9NPI1
O60547	Q9NZL9
P63220	P82912
P28799	Q9Y295
P05231	Q13651
Q13823	Q14137
P43490	Q10588
Q6NT76	Q9H147
P0C1Z6	Q9Y5K5
P18621	P40429
Q9UI95	Q9UQ84
P24863	P51946
O75529	Q9BWJ5
Q8N8Z8	Q99750
P40429	P62424
Q8IY31	Q9NPJ6
O43290	Q53GS9
O00590	P13500
O14495	O14939
Q6UUV9	Q9H0K1
P46777	Q9BYD6
P61619	Q9BYD1
Q8TDQ0	Q9BY67
Q96KN3	Q9UHL0
Q9BRK4	Q9BWG6
Q9BSL1	Q9BSL1
P13232	Q969D9
P35222	P49715
O75553	Q9Y5V3
O75419	P40938
O14901	Q13952
Q969Q0	Q96D46
Q13404	Q6ZNA4
O15160	P42766
Q8TB05	Q8TB05
P43630	Q07444
O94769	Q9NW64
P25398	P62191
P15144	Q8WTV0
O15169	Q9UJV3
Q96DV4	Q9Y2R9
O15541	O95926
P55061	Q96DU3
O95478	Q9NQ55
P84098	Q5JVS0
P01375	Q12933
O43759	Q9NZD8
P03372	Q96DF8
Q09161	Q9UDW3
P27701	P27701
P28331	Q8N183
P10620	Q8TED1
Q13620	Q6PH85
O43752	P83436
Q9BYM8	Q9UIM3
P03897	Q00059
Q96GQ7	Q9H7B2
Q8TCC3	Q9BYC8
P62826	Q9UKX7
P61011	P82914
P31939	Q9UGJ0
P26641	P40429
Q12864	Q15223
O14957	P60602
P30679	P35367
P04150	Q04206
P49207	Q15041
O00155	Q9UJ14
Q7LGA3	Q93063
P62875	Q9UL03
P05388	P80217
Q13454	Q96SW2
O75764	Q00403
Q96G25	Q96HR3
P01019	Q9ULZ1
P48047	Q96A35
P36954	Q71SY5
Q14978	Q14978
Q14508	Q5T7V8
Q7LBR1	Q8NEZ2
P04035	P17096
O14939	P05067
Q02878	Q9NVP1
P23511	Q96K80
O96008	Q9BUR5
O00566	Q9NW13
P62081	Q15041
P05387	P39019
O43474	Q13485
Q8NC60	Q9BYG3
P19544	Q15007
P00395	Q6YFQ2
Q86Y34	Q9Y6I9
P19388	Q9Y230
P10145	P18848
Q9NXF8	Q9NXF8
Q8TBG4	Q99447
O94888	P25789
P04637	Q969H0
P47914	P62495
Q86TG7	Q9NQT4
O14576	Q8TF09
P27797	Q12846
Q969S9	Q9Y3B7
Q9BYG3	Q9NR30
O95992	Q9UNU6
Q0VG99	Q5TAB7
O95166	Q3MII6
Q99447	Q9Y6K0
Q9H0C1	Q9H788
Q9GZS3	Q9GZS3
O15273	Q9BXL8
O43464	O60260
Q96T53	Q9UBU3
P46782	P82914
Q15397	Q9BVJ6
P18827	P26842
Q02543	Q8TCJ2
P16070	P17813
P41732	Q5JX71
Q8TAD4	Q9NUM3
P27449	Q8N511
Q9GZT8	Q9NXW9
P26367	Q13516
P50914	Q9NWU5
P61599	Q5VZE5
O60240	P41159
O75880	P00395
O95900	Q14137
Q86W74	Q9BSE2
P02760	P02768
P21912	Q99798
O95237	Q8IZV5
O60869	P15880
P61513	Q6W5P4
O75494	Q08170
P22090	P41091
Q9NRU3	Q9Y6N1
O95644	Q14814
Q15398	Q9BW19
Q0GE19	Q3KNW5
Q8N104	Q8N688
Q6PF18	Q9C0B1
Q8N3F8	Q9UBQ5
P46777	Q9Y262
P15880	P19387
Q86WC4	Q86WC4
Q86YD7	Q9BUH8
P82664	Q6NVY1
Q7RTV0	Q9BTD8
O75570	Q9Y2R9
Q8NI36	Q9NXF1
Q8IV36	Q8IV36
O14777	Q9BWT6
A1E959	P09234
O43542	P07992
Q86X55	Q96EY1
O75439	P47985
O60832	Q15050
A8MV65	Q9BVN2
P28799	Q8WUK0
P34897	Q6UB35
O14561	Q9BU61
P20674	P36542
Q8IUC3	Q9NSB4
P18621	P42677
Q15726	Q9HCQ7
P35227	P63279
Q6ZSS7	Q9NWH2
P14138	P51811
P49915	Q9P2T1
P21397	Q9UBQ7
Q9H0N5	Q9H0N5
Q16842	Q969X2
P62136	Q9BRG2
Q8IU60	Q8NCW5
Q8N8D1	Q9BWJ5
P27635	P62913
Q92830	Q92993
O95777	Q99459
Q7Z7A3	Q8N183
P56134	Q96IX5
O14920	Q99836
P0CG48	Q92995
P62280	Q969Q0
O43684	Q9UJX6
P56134	P56378
P16284	Q96E93
P06729	P20273
P24534	Q9Y3U8
P62306	Q9UHX1
P53803	Q08945
P00156	P99999
P50454	Q96A84
P10276	Q71SY5
O00626	P01579
Q6NTF9	Q9HB07
Q9H2G9	Q9NX63
P62263	Q9BRX2
A0A1B0GW35	Q9Y2D4
Q8N350	Q8N350
O95167	Q86Y39
P62841	Q6SJ96
P25398	P82675
Q16134	Q92947
P26641	P42677
P41235	Q9NQB0
P62273	Q9NX58
Q17RD7	Q8IYJ2
Q13526	Q9BVG8
Q7Z7L7	Q92624
P36954	P63272
P39019	P62888
O00257	P62258
P04141	P26718
P30086	P82664
P51946	P78396
O75459	Q9NUH8
Q9NZD8	Q9UI14
P01135	P10721
Q14498	Q96PK6
O76064	P0CG48
Q6UWP7	Q6ZWT7
O75419	Q96FF9
Q16739	Q9NPC4
P25705	P82664
Q15018	Q96RL1
P62888	P63244
Q7RTS5	Q9UKG4
P00395	P28331
O95299	P19404
Q99720	Q9HC24
P07910	Q9NY12
Q04206	Q13568
Q9BQ15	Q9BQ15
P55010	P62495
O43586	P49023
Q13520	Q8IXF9
O15392	Q9BW19
P57737	Q9Y3D7
P07476	P31944
Q6TCH4	Q6ZVX9
P61964	Q9Y4K3
P55061	Q96GF1
P51608	Q96FW1
O15541	Q5RL73
Q9UMS4	Q9UNP9
P55036	Q92905
P32969	P36542
Q99643	Q9Y5J7
O76003	Q6P4F2
P01275	P02768
O60641	P42566
P36406	Q9H0I2
O75925	P52630
O00560	P49760
P18621	Q96D46
Q5RL73	Q9P021
P06746	Q9UGN5
O95954	Q3SXM5
P42766	Q9BYC8
Q9NP92	Q9Y3D3
Q9BZL3	Q9NRQ5
Q9Y6Z7	Q9Y6Z7
Q14781	Q16763
P61218	Q6P2C8
P04180	P04180
Q8N8B7	Q96M89
Q15526	Q7KZN9
P26373	P60866
P39748	Q9H611
Q15022	Q9BQA1
O95295	Q8TDH9
Q16740	Q9H078
P62269	Q8IYK2
P14406	P19404
Q17RD7	Q92915
Q86XT4	Q9Y4P3
P18077	P62241
P16499	P33402
Q9C0D0	Q9HC52
Q9NQ50	Q9NQ50
Q15269	Q96CN9
P49821	P53597
Q6P2C8	Q9NX70
P04179	Q8TED1
Q13137	Q9H7H0
Q8IXQ6	Q8WXG1
Q8TBB1	Q99081
O14530	Q99832
Q15398	Q9H4H8
O94826	P38646
Q9HCD5	Q9HCD5
O75190	Q6ZTN6
P36888	P48735
P13693	P40429
O75916	P49756
Q96GU1	Q9NUX5
P25490	Q13485
Q7Z624	Q9NRG4
Q14134	Q9NRI5
Q8TDR0	Q9H7X7
Q15542	Q6ZYL4
P18621	Q5T653
P61247	P62273
Q969F0	Q9Y279
P02144	Q9NPG2
Q8IY82	Q9H095
P40938	Q6WBX8
O95396	P61960
P14061	Q9HAP2
O14757	P49450
P13667	P14625
Q8NHQ9	Q9BZE4
Q3KNW5	Q99726
Q96HE7	Q9BS26
O43909	P17861
P33402	Q9NZB8
P19838	Q99836
Q9UDY8	Q9UDY8
P03891	Q9NPL8
Q9BSB4	Q9H1Y0
P16473	Q86YW7
Q17RB8	Q8TDC0
Q8WWH4	Q96JY0
O95169	Q9BVV7
P32971	Q07011
P0CG20	Q9BVN2
Q6MZQ0	Q9BPZ7
P06729	Q13241
P36406	Q13114
P28907	Q9NRC8
P25398	P62847
Q9C0B1	Q9Y6M1
P09601	Q15800
Q12834	Q9UJX5
Q13114	Q9NWZ3
P59780	Q9H4P4
Q8N7U6	Q9BXF9
O14625	P10145
Q96NC0	Q9NX01
Q969X0	Q9ULR3
P01833	Q9H081
O94992	P15880
P51571	P60059
P62857	Q8IYK2
P16871	Q9H2L4
O76003	Q53S33
O95453	Q9NX24
O14972	O15151
Q8WWU7	Q8WWU7
Q92838	Q9UPQ8
Q13620	Q58WW2
Q13642	Q14642
O94777	Q92535
P01034	P02647
P05388	P62424
Q0VD86	Q96JG8
Q15699	Q15699
O43719	Q7RTV0
Q8TAP6	Q9Y5U2
O75251	Q8TB37
Q6UXB2	Q9Y258
Q15269	Q9BZE4
Q9NRD5	Q9Y530
P30519	Q16595
P23396	P62851
P17812	Q02127
Q8IY81	Q9UKD2
P07204	P10646
P49639	Q04900
P83876	Q9BZL1
Q8NHQ9	Q9NVU7
O00560	Q9BWC9
O95971	P08247
P62306	Q9BRD0
O75144	P29965
P02790	Q9Y5Y0
P46782	P62888
Q9Y5R5	Q9Y5R5
Q99442	Q9UGP8
Q8TE23	Q9NYV7
O00541	Q8IWA0
P25490	Q9BTT0
Q5H8A3	Q9GZQ4
Q53F19	Q8N5X7
Q8WXS5	Q9UF02
P42677	Q02878
Q12834	Q13257
Q14680	Q99661
Q96GY3	Q96GY3
P10145	P14780
P22301	P60568
A6NL82	Q96E40
Q5JS54	Q969U7
Q13330	Q9BRK4
O43293	Q14457
Q13061	Q9NZT1
P14635	Q9UKT4
Q8N511	Q8N511
O76024	O94778
P02647	P05067
P49639	Q05516
Q8N1B4	Q9NV70
Q15269	Q9NVU7
Q30KQ8	Q8N687
Q13627	Q5T749
P51648	Q08426
Q9GZL7	Q9UKD2
Q99614	Q99614
Q86WG3	Q86WG3
P51688	P54802
Q6UX06	Q8N6L0
P34972	Q9H2L4
P15056	P40692
O95168	Q9BU61
O60341	P04637
P41235	Q92908
Q02878	Q13823
O95229	P04183
Q16595	Q9UMS0
P47985	Q00325
O94906	Q9BRD0
Q9BSW2	Q9NVL1
Q92481	Q96SI1
P33992	P40937
Q9NRD5	Q9UJW9
P46777	Q9P0J6
P43490	P49902
O75771	Q14142
P02649	Q86X29
Q8TAB5	Q96M63
Q6IN84	Q8NC60
Q8IW40	Q9UI46
P52655	Q15528
P62495	Q9H9V9
O43583	P62280
Q86XA0	Q9BUU2
P01579	Q99665
O75564	Q3B820
P52434	P62316
Q5JRM2	Q9Y3U8
Q8IY81	Q9Y3T9
Q9H875	Q9HCG8
Q9NQV5	Q9NQV5
O60884	O60884
P55061	P55061
P27694	Q8N2Z9
Q8NAM6	Q8NHZ7
P03897	P56556
Q0D2K3	Q66K64
Q5JXC2	Q9BT92
Q12933	Q9Y4K3
Q6N075	Q8TDT2
H3BMG3	P26373
P05165	P80404
P18084	Q9BY76
P78396	Q96A08
P13693	P42677
Q9Y3D7	Q9Y3D7
Q9H7H0	Q9Y399
Q01780	Q02878
Q8TBP5	Q969S6
Q8NC60	Q9Y2Q9
Q969J3	Q9UHX1
Q8NFF5	Q9UHB4
O94956	Q8IVM8
P06746	Q8IW19
Q8N720	Q92785
Q6UX04	Q92917
O43929	O75419
P02652	Q13093
Q16625	Q8N4S9
P62753	P62851
P46087	Q8N1B4
A8MQ03	P0DPK4
P30038	Q96C36
Q8TD31	Q9Y5B8
P62249	P62269
O00142	P49902
P46459	Q9UBS5
Q96JQ5	Q96JQ5
O43765	Q96DA0
O15553	Q14790
O14561	O43674
O95777	O95777
Q8IUB9	Q96K80
P61587	Q9BU20
P09132	P62851
P82932	Q9H9J2
Q07699	Q07699
P32969	P62280
P17987	Q00613
P62424	Q15528
Q8N8B7	Q9H4P4
Q04323	Q04323
Q8TBM7	Q9HA82
P46781	Q5T1N1
Q9BZB8	Q9Y6A5
Q13323	Q2M3D2
Q15070	Q9Y6G3
Q53HV7	Q96EY9
P00747	P13497
Q9BYD2	Q9H2W6
P99999	Q16082
P42357	Q96N76
P46087	P61353
P13010	P13010
P02766	P37840
Q5H8A4	Q9Y2B2
O95169	Q8IUX1
O75031	Q03933
P38117	P42126
P50222	Q2M2Z5
P22307	P42126
Q8IW92	Q8IW92
P01584	P20333
Q15061	Q8IYK2
P43246	Q01831
P48444	P49755
Q6NTF9	Q8WXG1
Q9BVP2	Q9NQZ2
Q14790	Q9ULZ3
O60906	P04062
O43829	Q13895
O75934	Q5JXC2
Q9HB96	Q9HB96
P04156	P25788
O76021	Q9NZM5
P01730	Q10589
P31948	Q99933
Q86UR1	Q9H816
Q8TAT6	Q9BUN8
P04818	Q06203
P08588	P08588
Q96CN9	Q9UJV3
P10606	P31040
O75822	Q13347
Q14990	Q9NPE6
Q5T2R2	Q96H96
O14920	P01375
Q5VWG9	Q92750
Q13526	Q8TF50
O43143	Q9BZZ5
P16473	Q6PHW0
Q92560	Q9HC52
P40227	P49368
Q07020	Q9UBQ5
P00403	P49821
O00231	Q13200
O60832	Q13206
Q08623	Q08623
P35354	Q15185
Q8NEJ9	Q9NX24
Q96RP9	Q9NWT8
Q8IZ57	Q9Y5Y7
O15235	Q9BYC8
P52298	Q14974
O95125	Q96JC9
O75626	P17861
Q8NFR9	Q8NFR9
Q8N7U6	Q96M98
O95166	Q86VP1
P02741	P13501
O60443	Q9BYG8
Q14197	Q9NRX2
P80188	Q8IYX1
Q01780	Q15024
P61353	Q9UKD2
Q96JZ2	Q99816
O60260	Q13148
O00566	Q9NPD3
Q8IZ57	Q9Y225
P37837	Q00796
Q15398	Q99661
P13639	Q92901
P33151	P33151
A6NK58	Q9NWU1
O43663	Q9BW19
Q9H211	Q9H211
P02652	P02671
O95456	Q6NVY1
Q8WWH5	Q9NPE3
Q13084	Q9UI43
O14561	O75438
A4D1E9	Q16540
P62854	Q9NX20
P23025	Q13889
P10074	Q9NVV9
Q63ZY3	Q8N1B4
A5PLL7	P13473
O75396	P27797
C9JDP6	O75508
P17152	Q6UXV4
O14653	O95249
O43829	P32969
Q9P013	Q9UBK2
P38919	P62753
P32969	Q9Y3B7
O15504	O15504
Q96DD7	Q9BQA9
A0PJW8	P62269
O75935	Q9BVL2
Q8WXC6	Q99627
P79522	Q99459
O15446	P62875
P09326	Q9NQ25
Q9BT17	Q9NRX2
P62913	P63173
Q7L190	Q9C086
O15393	P01019
Q15070	Q96EY7
Q07666	Q92841
Q06432	Q06432
Q15025	Q9BVG8
B4DS77	Q9UF02
Q01081	Q92945
O43159	Q9UGY1
O95715	Q8IYF3
Q9HB19	Q9NYT0
O60760	P10620
P50914	Q96A35
P61927	Q9Y2R9
P62249	Q969Q0
Q12849	Q9NUL7
P47897	P63173
P10768	P52209
Q8NHG7	Q8TAT6
P57105	Q8N6Y0
O60260	Q9H672
P51116	Q9HAF1
P16284	Q13740
Q9BYD1	Q9NV31
Q7Z3K6	Q7Z3K6
Q96GV9	Q96GV9
O14757	Q9BTP7
Q71SY5	Q9H668
P62854	Q9UHB9
P18859	Q99437
A8MV65	Q8IWZ5
P61978	Q86XF7
P13682	Q86X02
Q6IQ49	Q9H875
Q6PEX3	Q9BXF9
Q5BJF2	Q99720
P25398	P60059
P04179	P40429
Q8TDD1	Q96BK5
O43395	Q2KHN1
Q86YH6	Q99807
O95229	P62633
O43395	Q9Y4E8
O95447	O95447
O14543	P22301
Q02080	Q14934
P61353	Q9Y3T9
O75251	P08574
P02656	P02656
P14859	Q16633
P85298	Q9H0C1
Q0VD86	Q5T280
Q96IW2	Q96IW2
P13598	P16109
O75175	P27797
P39019	Q9NX58
Q86Y82	Q8N2U9
O96018	P61764
Q8TBB1	Q9H2G4
Q6UXG3	Q6UXG3
P14174	P25025
O00487	Q53HC0
P02545	Q96EL1
P43243	Q92804
P06576	P08574
O75400	P24863
Q8TD10	Q9H892
Q6P5S7	Q9H0Q3
Q15306	Q86UE8
P62269	Q13405
O95994	Q99633
P46087	Q13601
P04150	P06850
Q9BVC3	Q9BVW5
Q13148	Q96FW1
O60341	Q92769
P02652	P19652
Q9BRD0	Q9BW85
O15392	Q99661
P23396	P62875
O95263	P22413
P56279	Q9GZT8
Q13309	Q16763
Q9H0D6	Q9NXV6
Q13601	Q13610
P28331	Q99871
Q14508	Q5JX71
P61970	Q16740
O43674	Q7L592
O14788	P36941
P62314	Q96BP3
P28799	Q9Y297
P49771	P63173
Q96JA3	Q9NYT0
P37231	Q9UBK2
Q8N5N7	Q9H0U6
Q9NPF5	Q9NYP9
P32321	Q9H773
Q9H7B2	Q9UHA3
Q5JX71	Q9BQA9
Q13618	Q969S2
Q5T2D3	Q9BYD2
P07766	P10747
P50454	Q13702
O00567	Q5SY16
O43805	Q9NRD5
Q9H869	Q9H869
Q68CJ9	Q92750
Q5TB30	Q96H22
Q8N0X7	Q9BSL1
P02730	Q9H2L4
Q8IY31	Q9NQC8
Q96CN9	Q99633
Q86U38	Q8TDD1
P01579	P42226
Q13895	Q9NQ55
P62875	Q6P2C8
O14773	Q15554
P04637	Q9NQR1
Q969U6	Q9NXF7
P55317	Q01860
Q86UT6	Q9Y6K9
Q02878	Q9Y295
Q8IXK0	Q96EZ8
O76071	Q9UKA1
O00541	Q12788
Q86VR2	Q96MX0
O15514	Q15542
Q96B26	Q99547
O95273	O95273
Q96T52	Q99732
P03905	Q96CU9
O00472	P62826
P21589	Q9UJM8
Q96RR1	Q9UHN1
Q6IA86	Q8IXH7
Q5BIV9	Q9UKY0
O15213	Q96G21
Q8ND71	Q9NUV9
P61421	Q6P5S7
Q86U38	Q9Y6V7
Q13435	Q9Y580
O95183	Q8N661
Q8IUC2	Q9BZE0
P47985	Q6YFQ2
O43169	Q13113
P23497	Q9BUI4
P05109	P19878
P25791	Q8TDR4
Q96EL3	Q9Y399
Q15645	Q9NRY6
P35227	Q6ZN18
Q15544	Q96HR3
Q8TCJ0	Q8TCJ0
P82933	Q9P0M9
Q00403	Q12962
O14561	O75964
P54710	P59646
O96019	Q8N5Y2
P06400	P06401
O60641	Q9NYB9
P62273	P62753
O43609	O95363
Q8IYB3	Q9Y2W1
O00257	Q9UJX6
P01375	Q14242
O75907	Q6NUM9
P31040	Q15274
O14773	Q9NSE2
Q13526	Q8NBZ0
P60866	P82675
Q92769	Q969G3
O43462	P18850
O43752	P51809
P06400	P46527
P13765	P28067
P82664	Q9BRJ2
O00231	P50991
P13639	Q9Y3D3
P82664	Q9H173
O43677	O95182
O75915	Q9UI14
O95259	Q14722
P35754	Q9H4Y5
Q6P3W2	Q9BQC3
P85298	P85299
Q8NBJ4	Q92982
Q9UHP6	Q9Y2V7
O95429	O95988
O43776	Q9Y285
Q02930	Q9NYG5
Q9NS69	Q9NX63
P08567	Q13094
Q8N4P2	Q96LB3
Q92535	Q9BRB3
Q9BVG8	Q9UIL1
O43752	O75379
P19338	P37840
P19438	Q9Y5U5
O14901	Q969X5
Q8WWY3	Q8WYA6
Q709F0	Q9BV20
P61619	P62888
O15235	O43818
P28799	Q8NEZ2
P22695	Q00059
P11912	Q14318
Q2TAL6	Q9NUL5
Q92890	Q9UNN5
P49450	Q8N0S6
Q86VN1	Q9H7P6
Q13501	Q96RU3
P82673	P82912
O15393	P41161
O00232	P28066
Q5EBM0	Q9NWZ5
Q8IVS2	Q9NWU1
Q9P2W7	Q9Y6W8
O00471	Q96KP1
Q8TAM1	Q9NXB0
P35268	P46782
O75251	Q8IUX1
Q15003	Q9UQ84
P20809	Q99650
Q13501	Q16236
Q14137	Q96G21
Q8N653	Q9UBV8
Q12951	Q86UW9
P62244	Q6DKI1
A0PJW8	P46778
P46781	Q9Y3A4
O43463	Q4FZB7
O15155	Q8N5M9
P40937	Q96T49
P60568	Q9BYF1
O15444	P32302
P83369	Q9NVN8
Q9NV31	Q9Y3B7
Q15370	Q9Y248
P30556	P49407
P07902	Q14626
O75306	P10606
O14957	P18859
O95140	Q8IXI2
O76094	Q9UNL2
Q12893	Q9NQG1
P29084	Q9H204
Q6NXT4	Q9NUM3
P06127	Q9Y275
P49902	Q16854
Q8NI77	Q9BZD4
P62424	P78371
P46781	Q96GA3
P00750	P07858
Q86TJ2	Q9H8E8
Q99623	Q9BPX6
P30291	P62258
P01732	P05113
P62888	Q02878
P35269	Q15528
Q92917	Q9HCG8
Q6ZWL3	Q6ZWL3
O43660	Q9HCG8
Q8N2G8	Q96C10
P61513	Q9UKD2
P47813	Q9NRX2
P43243	P62995
Q14746	Q9NYM9
P04818	P41440
Q96CS2	Q96EV8
Q13190	Q15363
O14526	Q96RU3
Q96FF9	Q96FF9
Q96DV4	Q9NYK5
O60641	P21579
P32969	P61011
O15524	O15524
P60468	P62266
Q9NTZ6	Q9NTZ6
O15499	Q9H5X1
Q8TAB5	Q9BT25
P82650	Q14CZ7
O76024	Q96MN9
O00231	Q16401
Q9BZE4	Q9NR30
Q96GA3	Q9BZE4
O60383	Q05996
Q86Y39	Q9UI09
P12004	Q9UGP5
Q04864	Q0P5N6
O95926	Q13435
P05387	P62424
A4D161	P0DPK4
Q16873	Q9NPC1
O60783	Q9P0J6
P19387	Q9BUI4
P08708	Q9ULX3
P49754	Q9P253
P41091	P82675
O95376	Q15369
Q8N5C8	Q9Y6K9
P01579	Q14627
P37108	P62277
P54105	Q9Y4Z0
P55075	Q01860
Q969L4	Q99459
O75056	Q14624
Q96BP2	Q96RP9
O00233	P62191
P06737	Q8TD86
Q96CB9	Q9NWU5
P06733	Q01813
P61619	Q9BY50
O95831	Q9Y3D3
Q8TCC3	Q9NX20
